Preview of generated absorbance spectra
Format: wavelength (nm), absorbance
601.00, 0.291907
602.00, 0.317649
603.00, 0.339393
604.00, 0.361870
605.00, 0.395986
606.00, 0.408836
607.00, 0.434813
608.00, 0.458668
609.00, 0.482345
610.00, 0.503932
611.00, 0.532220
612.00, 0.551772
613.00, 0.577870
614.00, 0.600999
615.00, 0.626326
616.00, 0.656552
617.00, 0.664960
618.00, 0.694812
619.00, 0.707854
620.00, 0.731364
621.00, 0.755350
622.00, 0.769881
623.00, 0.783075
624.00, 0.800272
625.00, 0.819923
626.00, 0.829393
627.00, 0.845714
628.00, 0.857462
629.00, 0.866616
630.00, 0.886458
631.00, 0.891324
632.00, 0.891656
633.00, 0.907336
634.00, 0.912267
635.00, 0.924362
636.00, 0.925462
637.00, 0.933674
638.00, 0.941191
639.00, 0.947386
640.00, 0.945150
641.00, 0.952177
642.00, 0.955520
643.00, 0.958399
644.00, 0.969526
645.00, 0.967913
646.00, 0.965031
647.00, 0.974582
648.00, 0.980702
649.00, 0.979062
650.00, 0.972422
651.00, 0.977437
652.00, 0.984660
653.00, 0.979467
654.00, 0.984451
655.00, 0.986617
656.00, 0.981980
657.00, 0.985717
658.00, 0.976022
659.00, 0.984043
660.00, 0.987231
661.00, 0.984531
662.00, 0.994546
663.00, 0.984922
664.00, 0.988607
665.00, 0.990867
666.00, 0.995526
667.00, 0.986347
668.00, 0.995185
669.00, 0.991628
670.00, 0.988576
671.00, 0.993526
672.00, 0.992830
673.00, 0.990347
674.00, 0.992688
675.00, 0.991306
676.00, 0.993053
677.00, 0.994950
678.00, 0.998073
679.00, 0.988833
680.00, 1.000000
681.00, 0.986585
682.00, 0.992558
683.00, 0.995031
684.00, 0.994044
685.00, 0.991086
686.00, 0.992468
687.00, 0.991539
688.00, 0.991228
689.00, 0.995972
690.00, 0.994347
691.00, 0.990881
692.00, 0.996122
693.00, 0.994159
694.00, 0.995813
695.00, 0.995194
696.00, 0.990369
697.00, 0.991236
698.00, 0.995525
699.00, 0.995051
700.00, 0.992947
701.00, 0.993378
702.00, 0.997177
703.00, 0.990990
704.00, 0.994715
705.00, 0.992217
706.00, 0.992137
707.00, 0.996446
708.00, 0.995515
709.00, 0.995445
710.00, 0.997035
711.00, 0.992770
712.00, 0.994916
713.00, 0.991613
714.00, 0.993671
715.00, 0.992141
716.00, 0.992856
717.00, 0.994464
718.00, 0.989772
719.00, 0.999330
720.00, 0.989084
721.00, 0.988364
722.00, 0.996148
723.00, 0.994905
724.00, 0.994318
725.00, 0.994297
726.00, 0.992151
727.00, 0.989199
728.00, 0.992371
729.00, 0.989854
730.00, 0.995264
731.00, 0.991530
732.00, 0.989259
733.00, 0.990885
734.00, 0.993269
735.00, 0.990015
736.00, 0.989127
737.00, 0.992604
738.00, 0.992573
739.00, 0.990059
740.00, 0.990142
741.00, 0.992423
742.00, 0.986850
743.00, 0.986948
744.00, 0.989183
745.00, 0.990811
746.00, 0.992504
747.00, 0.996306
748.00, 0.994234
749.00, 0.990844
750.00, 0.991273
751.00, 0.987995
752.00, 0.991203
753.00, 0.990276
754.00, 0.992255
755.00, 0.988429
756.00, 0.992831
757.00, 0.996135
758.00, 0.990689
759.00, 0.992336
760.00, 0.993250
761.00, 0.989618
762.00, 0.991642
763.00, 0.990909
764.00, 0.991154
765.00, 0.988248
766.00, 0.990841
767.00, 0.992365
768.00, 0.995471
769.00, 0.993814
770.00, 0.997712
771.00, 0.988051
772.00, 0.993419
773.00, 0.991112
774.00, 0.997689
775.00, 0.987772
776.00, 0.987632
777.00, 0.988389
778.00, 0.983328
779.00, 0.988559
780.00, 0.987754
781.00, 0.990716
782.00, 0.991310
783.00, 0.996331
784.00, 0.993244
785.00, 0.988175
786.00, 0.987079
787.00, 0.991625
788.00, 0.985617
789.00, 0.995968
790.00, 0.993783
791.00, 0.988314
792.00, 0.984178
793.00, 0.994250
794.00, 0.989375
795.00, 0.993796
796.00, 0.984425
797.00, 0.987669
798.00, 0.989625
799.00, 0.989727
800.00, 0.988053

Spectrum 1, Class 0 (long-pass)
400.00, 0.006646
401.00, 0.000935
402.00, 0.008429
403.00, 0.005937
404.00, 0.003086
405.00, 0.009219
406.00, 0.005425
407.00, 0.008273
408.00, 0.005340
409.00, 0.010658
410.00, 0.009868
411.00, 0.004563
412.00, 0.007828
413.00, 0.006982
414.00, 0.008926
415.00, 0.002746
416.00, 0.007155
417.00, 0.008166
418.00, 0.000702
419.00, 0.002253
420.00, 0.000000
421.00, 0.004725
422.00, 0.007370
423.00, 0.009478
424.00, 0.005705
425.00, 0.009859
426.00, 0.001886
427.00, 0.001050
428.00, 0.005452
429.00, 0.006644
430.00, 0.005560
431.00, 0.000177
432.00, 0.005459
433.00, 0.002254
434.00, 0.007525
435.00, 0.006745
436.00, 0.003299
437.00, 0.004458
438.00, 0.003035
439.00, 0.005711
440.00, 0.008445
441.00, 0.003316
442.00, 0.007305
443.00, 0.004588
444.00, 0.003922
445.00, 0.005778
446.00, 0.003346
447.00, 0.004662
448.00, 0.002987
449.00, 0.011431
450.00, 0.006345
451.00, 0.004435
452.00, 0.006909
453.00, 0.006091
454.00, 0.005853
455.00, 0.008127
456.00, 0.008566
457.00, 0.005205
458.00, 0.005151
459.00, 0.006021
460.00, 0.000711
461.00, 0.002884
462.00, 0.010632
463.00, 0.011466
464.00, 0.006536
465.00, 0.008842
466.00, 0.008259
467.00, 0.015746
468.00, 0.010683
469.00, 0.007525
470.00, 0.005497
471.00, 0.003954
472.00, 0.008968
473.00, 0.006640
474.00, 0.005115
475.00, 0.007444
476.00, 0.006582
477.00, 0.014262
478.00, 0.012475
479.00, 0.010500
480.00, 0.014881
481.00, 0.011622
482.00, 0.009644
483.00, 0.016547
484.00, 0.014556
485.00, 0.011054
486.00, 0.014060
487.00, 0.013070
488.00, 0.012637
489.00, 0.019781
490.00, 0.023502
491.00, 0.015931
492.00, 0.022487
493.00, 0.020739
494.00, 0.022800
495.00, 0.024308
496.00, 0.025553
497.00, 0.030140
498.00, 0.030179
499.00, 0.035717
500.00, 0.037731
501.00, 0.040376
502.00, 0.042050
503.00, 0.046712
504.00, 0.054396
505.00, 0.058255
506.00, 0.059286
507.00, 0.067567
508.00, 0.075214
509.00, 0.075227
510.00, 0.088125
511.00, 0.092550
512.00, 0.104109
513.00, 0.109539
514.00, 0.116479
515.00, 0.127431
516.00, 0.143175
517.00, 0.155874
518.00, 0.165793
519.00, 0.183809
520.00, 0.192536
521.00, 0.212552
522.00, 0.226229
523.00, 0.245374
524.00, 0.265817
525.00, 0.282888
526.00, 0.304499
527.00, 0.329355
528.00, 0.347059
529.00, 0.373401
530.00, 0.391357
531.00, 0.419441
532.00, 0.445927
533.00, 0.459867
534.00, 0.488815
535.00, 0.517000
536.00, 0.539374
537.00, 0.565141
538.00, 0.586468
539.00, 0.611788
540.00, 0.634093
541.00, 0.659933
542.00, 0.679119
543.00, 0.700175
544.00, 0.718184
545.00, 0.737104
546.00, 0.755460
547.00, 0.774936
548.00, 0.789104
549.00, 0.806387
550.00, 0.825594
551.00, 0.835938
552.00, 0.845409
553.00, 0.861256
554.00, 0.867936
555.00, 0.873766
556.00, 0.885908
557.00, 0.892303
558.00, 0.904352
559.00, 0.912711
560.00, 0.923897
561.00, 0.926536
562.00, 0.930793
563.00, 0.938807
564.00, 0.935510
565.00, 0.946384
566.00, 0.951800
567.00, 0.949466
568.00, 0.959759
569.00, 0.960648
570.00, 0.961405
571.00, 0.966703
572.00, 0.973342
573.00, 0.969871
574.00, 0.971940
575.00, 0.971780
576.00, 0.972306
577.00, 0.978192
578.00, 0.975002
579.00, 0.978640
580.00, 0.978247
581.00, 0.981758
582.00, 0.982252
583.00, 0.984922
584.00, 0.981536
585.00, 0.982834
586.00, 0.981550
587.00, 0.983516
588.00, 0.986196
589.00, 0.987656
590.00, 0.983605
591.00, 0.988740
592.00, 0.990373
593.00, 0.988179
594.00, 0.992351
595.00, 0.985565
596.00, 0.984549
597.00, 0.983345
598.00, 0.992245
599.00, 0.990188
600.00, 0.988467
601.00, 0.989510
602.00, 0.985914
603.00, 0.995532
604.00, 0.989494
605.00, 0.989549
606.00, 0.991288
607.00, 0.990730
608.00, 0.990132
609.00, 0.987516
610.00, 0.990944
611.00, 0.994762
612.00, 0.993400
613.00, 0.994119
614.00, 0.988583
615.00, 0.987365
616.00, 0.989710
617.00, 0.990240
618.00, 0.993045
619.00, 0.985682
620.00, 0.994285
621.00, 0.989839
622.00, 0.989161
623.00, 0.987641
624.00, 0.985967
625.00, 0.992586
626.00, 0.990624
627.00, 0.987032
628.00, 0.987048
629.00, 0.989627
630.00, 0.994983
631.00, 0.989885
632.00, 0.986607
633.00, 0.989975
634.00, 0.989929
635.00, 0.983512
636.00, 0.990559
637.00, 0.990115
638.00, 0.992603
639.00, 0.995690
640.00, 0.993794
641.00, 0.990109
642.00, 0.987906
643.00, 0.997708
644.00, 0.991049
645.00, 0.990952
646.00, 0.990873
647.00, 0.991486
648.00, 0.990598
649.00, 0.989479
650.00, 0.989572
651.00, 0.990960
652.00, 0.989625
653.00, 0.989196
654.00, 0.991395
655.00, 0.990456
656.00, 0.995152
657.00, 0.984132
658.00, 0.994099
659.00, 0.994531
660.00, 0.985731
661.00, 0.990351
662.00, 0.990296
663.00, 0.987564
664.00, 0.989259
665.00, 0.988396
666.00, 0.996025
667.00, 0.993876
668.00, 0.994789
669.00, 0.993349
670.00, 0.988452
671.00, 0.990080
672.00, 0.992795
673.00, 0.988268
674.00, 0.993432
675.00, 0.990919
676.00, 0.990583
677.00, 0.993489
678.00, 0.992801
679.00, 0.990683
680.00, 0.994744
681.00, 0.988811
682.00, 0.993342
683.00, 0.993302
684.00, 0.990924
685.00, 0.992634
686.00, 0.988464
687.00, 0.994265
688.00, 0.991339
689.00, 0.990463
690.00, 0.994660
691.00, 0.990022
692.00, 0.988172
693.00, 0.987799
694.00, 0.993567
695.00, 0.988575
696.00, 0.996662
697.00, 0.986487
698.00, 0.996549
699.00, 0.992622
700.00, 0.991825
701.00, 0.990655
702.00, 0.993185
703.00, 0.992045
704.00, 0.995098
705.00, 0.992491
706.00, 0.992608
707.00, 0.991263
708.00, 0.992099
709.00, 0.993089
710.00, 0.987747
711.00, 0.988730
712.00, 0.994309
713.00, 0.992809
714.00, 0.991887
715.00, 0.992446
716.00, 0.993341
717.00, 0.991004
718.00, 0.990391
719.00, 0.993001
720.00, 0.989902
721.00, 0.993607
722.00, 0.988019
723.00, 0.995299
724.00, 0.993841
725.00, 0.993287
726.00, 0.995239
727.00, 0.997074
728.00, 0.995365
729.00, 0.987798
730.00, 0.989311
731.00, 0.991072
732.00, 0.992822
733.00, 0.994150
734.00, 0.990866
735.00, 0.993312
736.00, 0.990829
737.00, 0.991233
738.00, 0.989141
739.00, 0.990446
740.00, 0.989329
741.00, 0.990348
742.00, 0.995763
743.00, 0.990460
744.00, 1.000000
745.00, 0.994336
746.00, 0.993538
747.00, 0.990786
748.00, 0.994949
749.00, 0.991579
750.00, 0.993454
751.00, 0.999955
752.00, 0.992917
753.00, 0.996247
754.00, 0.991345
755.00, 0.993142
756.00, 0.997962
757.00, 0.991611
758.00, 0.998114
759.00, 0.995200
760.00, 0.991845
761.00, 0.995041
762.00, 0.995966
763.00, 0.995055
764.00, 0.989251
765.00, 0.991512
766.00, 0.992808
767.00, 0.993289
768.00, 0.995157
769.00, 0.994001
770.00, 0.990001
771.00, 0.994581
772.00, 0.995214
773.00, 0.995100
774.00, 0.996505
775.00, 0.995870
776.00, 0.994895
777.00, 0.993510
778.00, 0.989303
779.00, 0.994880
780.00, 0.994311
781.00, 0.994502
782.00, 0.990408
783.00, 0.990949
784.00, 0.996641
785.00, 0.993759
786.00, 0.995696
787.00, 0.993981
788.00, 0.994006
789.00, 0.996441
790.00, 0.992597
791.00, 0.994245
792.00, 0.992782
793.00, 0.992877
794.00, 0.993231
795.00, 0.994664
796.00, 0.992822
797.00, 0.997452
798.00, 0.991759
799.00, 0.993660
800.00, 0.993009

